g,Q,t,y
0.325781981816912,80.349616989357,0,72
0.569002090564224,78.9195087401298,0,58
0.233651847023666,86.4712941923884,0,108
0.460534996338273,88.9320296547965,0,96
0.478672010118887,77.4594592887296,0,74
0.536314625057833,80.3502068052613,0,74
0.488117468796223,76.002247749654,1,74
0.134165967789675,86.5072952520197,0,84
0.498104152541753,77.487156106748,0,74
0.349363860430709,79.1100664196895,1,80
0.254833544276998,84.1492120734682,0,96
0.298266898947435,82.3547774849499,0,92
0.111327164924765,86.0853718886073,0,92
0.403381800873687,79.2999425235856,0,74
0.25783502603417,83.1658405733482,1,84
0.613187817742382,77.5216582432084,0,72
0.500286910962765,84.6255768068842,0,98
0.123411849407684,83.0656285053314,0,96
0.41945765093,80.920232780484,0,72
0.616298780588051,80.4199343308621,1,90
0.690440622201756,81.4143186507925,0,90
0.430730002437259,85.72011688244,0,78
0.761771302501055,75.2793041417084,1,72
0.736603111944281,81.0636289600069,1,60
0.632498808313792,78.5170647876374,1,84
0.156403494922748,75.4424750446764,0,70
0.085526654437556,77.9877924667545,1,78
0.082807436192367,78.5235554341023,0,82
0.557472845860297,78.2511900750967,0,74
0.416103301297848,84.3316010452007,1,86
0.615669061143465,77.4544305796427,0,76
0.602460141760095,80.6219557241767,0,68
0.520922548462312,76.7821093659899,1,76
0.629955789207062,83.5052788852142,0,86
0.121313886321693,75.9739499657074,1,84
0.639838423819624,78.5208486422358,1,82
0.183120122269373,80.3553075057598,0,98
0.391726226746193,87.6052659603353,0,80
0.654856880933066,79.3413837950539,0,88
0.369720514577237,77.1751100428019,0,80
0.34630576225672,78.7614732625349,0,104
0.632507165390264,70.3986821316834,1,82
0.653357061626749,72.7924024929642,1,68
0.234624126931089,79.7400752820877,0,58
0.355211899914343,87.861692165132,0,84
0.162999493821885,84.4124619299455,0,84
0.063168716499921,76.6774327570438,0,70
0.366625608425643,82.3381568709549,1,68
0.755706908833801,79.335662827623,0,70
0.876160300352826,78.7595746473593,1,62
0.142636120710001,87.2681338815752,0,88
0.415802304643352,81.5814512773437,0,74
0.012289047647652,80.3751937313629,0,92
0.521207013703182,78.9246305620866,1,86
0.076117123833184,79.9585576834315,0,96
0.641866142822332,72.6407018975815,1,84
0.176037157800915,75.2208625239514,0,80
0.526150180050396,76.3153606155322,0,96
0.253129966172445,83.8352281303847,0,86
0.396384969634133,78.7370267374232,0,46
0.317194592154348,85.3820559611373,0,86
0.757934339172877,81.006061207539,0,70
0.378602260059003,79.8574168365016,0,96
0.141784316452053,78.7402731246492,0,78
0.149983007101423,79.8272245317972,0,68
0.113490391361089,89.6095891241196,0,92
0.810020710915747,70.5221691691625,1,96
0.061415084940452,80.3817441849392,0,88
0.228619261881966,82.1112467880579,0,70
0.619061178095112,71.9959441128347,1,68
0.260369179702358,81.2309106121269,0,98
0.801044528691307,69.8973970943636,1,84
0.414147772838615,83.5827252921146,1,100
0.519661828950294,86.3736421729203,0,100
0.773646370166408,82.5295384540607,0,98
0.421448989314992,83.4903423293731,0,78
0.278478745151135,79.9903906219381,0,88
0.377679155324198,79.3992536291856,0,68
0.30070452371672,79.105840058446,0,76
0.649435667165428,80.4785777990799,1,108
0.21973235034193,81.797962634027,0,82
0.484173843301048,80.2374263447368,0,66
0.770549185514046,72.5569555268768,0,88
0.421424871612865,79.9016505050932,0,90
0.418836574294082,82.6036302767856,0,82
0.737010250038278,68.6965245960436,1,56
0.225425694697298,91.5526697937123,0,96
0.527732035368313,77.9561104262243,0,76
0.812431561974309,72.098480260655,1,64
0.444990314031194,81.1713185124946,0,84
0.350171091817155,86.4727209402221,0,72
0.263413118243966,81.3350899896333,0,80
0.68179161104983,72.5360082948744,0,82
0.281704558521243,77.539560645683,0,90
0.728221182159142,73.1716494208796,0,70
0.728676765750057,75.3880297760704,1,82
0.421020978096969,83.9876808206102,0,60
0.865764971326546,72.5397345642235,1,88
0.062476964761724,76.0877615340051,0,70
0.242368727025606,85.3380363637828,0,86
0.702997157079986,71.4211480294685,1,84
0.386593752480227,76.7572229671071,0,60
0.248432737437189,81.3460385939918,1,110
0.784605828254628,72.2728371029695,1,76
0.637537405725249,78.0104675572525,0,98
0.576051284516925,86.0708043382951,1,88
0.173384747696968,84.4103587291055,0,90
0.157883493972012,80.951285796539,0,70
0.086027944743735,78.952255948232,0,68
0.208324231359867,75.0232744500768,1,76
0.034511932319754,71.5485298043451,0,62
0.452573905754707,79.4392968673156,1,92
0.608337577756544,76.2721476977847,1,54
0.834230725342346,78.3684385579205,0,56
0.357356539428142,81.4481342572866,0,100
0.490158138194676,79.5555345972005,0,88
0.725965215301766,84.7988041959011,0,62
0.432983738679101,89.0814175223717,0,106
0.128930510969418,82.5058386071029,0,108
0.608305078318075,73.739495045409,0,60
0.633454630947153,78.4236428688205,1,92
0.328635364694966,74.7605447145401,0,70
0.581677163129992,78.9045324732013,1,74
0.772047928129675,75.8168675935912,0,66
0.694374593225941,86.8642298347164,1,100
0.091475651062786,75.9922014242329,0,60
0.66880598582092,75.1583682390809,0,72
0.34118654921559,77.8018008719809,1,92
